ID,Location,Date,Claimed by AFRICOM?,Description of target ,DPH claim?,URL,
64," Vicinity of Kunya Barrow, Lower Shabelle, Somalia",2-Mar-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom286-march-2-2020/,
65," Vicinity of Kunya Barrow, Lower Shabelle, Somalia",2-Mar-20,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom285-march-2-2020/,
66," Vicinity of Kunya Barrow, Lower Shabelle, Somalia",28-Feb-20,Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom284-february-28-2020/,
67,"Kunya Barrow, Lower Shabelle, Somalia",28-Feb-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom283-c-february-28-2020/,
68,"the Masalanja farm near the village of Kumbareere, Middle Juba, Somalia",24-Feb-20,Yes,al-Shabaab member or civilian farmer,No,https://airwars.org/civilian-casualties/ussom282-c-february-24-2020/,
69," Dujuuma, Middle Juba, Somalia",23-Feb-20,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom281-february-23-2020/,
70," Saakow, Middle Juba, Somalia",22-Feb-20,Yes,al-Shabaab members in town ,No,https://airwars.org/civilian-casualties/ussom280-february-22-2020/,
71," Saakow, Middle Juba, Somalia",21-Feb-20,Yes,general area,No,https://airwars.org/civilian-casualties/ussom279a-february-21-2020/,
72,"Wadajir, Qoryooley, Somalia",19-Feb-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom279-february-19-2020/,
73,"Jilib, Middle Juba, Somalia",17-Feb-20,Yes,civilian residence thought to be an al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom278-c-february-17-2020/,
74," Jilib, Middle Juba, Somalia",6-Feb-20,Yes,al-Shabaab members and compound,No,https://airwars.org/civilian-casualties/ussom277-february-6-2020/,
75," Jilib, Middle Juba, Somalia",6-Feb-20,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom276-february-6-2020/,
76,"Vicinity of Beer Xani, Lower Juba, Somalia",4-Feb-20,Yes,al-Shabaab member after Somali forces were attacked in that area the day prior,No,https://airwars.org/civilian-casualties/ussom275-february-4-2020/,
77," Jilib, Middle Juba, Somalia",3-Feb-20,Yes,general area,No,https://airwars.org/civilian-casualties/ussom274a-february-3-2020/,
78,"Jilib, Middle Juba, Somalia",2-Feb-20,Yes,"civilian residence, with one claimed al-Shabaab member as well as civilians",No,https://airwars.org/civilian-casualties/ussom274-c-february-2-2020/,
79,"Jilib, Middle Juba, Somalia",1-Feb-20,Yes,general area,No,https://airwars.org/civilian-casualties/ussom273a-february-1-2020/,
80,"Jilib, Middle Juba, Somalia",29-Jan-20,Yes,al-Shabaab compounds ,No,https://airwars.org/civilian-casualties/ussom273-january-29-2020/,
81,"Homboy, Middle Juba, Somalia",27-Jan-20,Yes,al-Shabaab member or civilian farmer,No,https://airwars.org/civilian-casualties/ussom272-c-january-27-2020/,
82,"Near Jamaame, Lower Juba, Somalia",26-Jan-20,Yes,al-Shabaab compounds ,No,https://airwars.org/civilian-casualties/ussom271-january-26-2020/,
83,"Sakow district, Middle Juba, Somalia",22-Jan-20,No,al-Shabaab base with weapons,No,https://airwars.org/civilian-casualties/ussom270-january-22-2020/,
84,"between Jilib and Bu’aale, Middle Juba, Somalia",22-Jan-20,No,al-Shabaab base with weapons,No,https://airwars.org/civilian-casualties/ussom269-january-22-2020/,
85,"Near Bangeeni, Lower Juba, Somalia",19-Jan-20,Yes,al-Shabaab members attacking Somali forces,Yes,https://airwars.org/civilian-casualties/ussom268-january-19-2020/,
86,"25km north of Kunya  Barrow, Lower Shabelle, Somalia",16-Jan-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom266-january-16-2020/,
87,"Lafta Anole neighborhood, Lower Juba, Somalia",7-Jan-20,No,al-Shabaab members who were attacked by Somali forces,Maybe ,https://airwars.org/civilian-casualties/ussom265-january-7-2020/,
88,"Between Bacaw and Bariire, Lower Shabelle, Somalia",3-Jan-20,Yes,al-Shabaab members attacking Danab forces,Yes,https://airwars.org/civilian-casualties/ussom264-january-3-2020/,
89,"Vicinity of Kunyo Barrow, Lower Shabelle, Somalia",29-Dec-19,Yes,"al-Shabaab members and vehicles, in retaliation for an al-Shabaab bombing the day before",No,https://airwars.org/civilian-casualties/ussom262-december-29-2019/,
90,"Vicinity of Kunyo Barrow, Somalia",29-Dec-19,Yes,"al-Shabaab members and vehicles, in retaliation for an al-Shabaab bombing the day before",No,https://airwars.org/civilian-casualties/ussom261-c-december-29-2019/,
91,"Vicinity of Caliyoow Barrow, Lower Shabelle, Somalia","December 28–29, 2019",Yes,"al-Shabaab members, in retaliation for an al-Shabaab bombing the day before",No,https://airwars.org/civilian-casualties/ussom263-december-28-2019/,
92,"Dujuuma, Middle Juba, Somalia",16-Dec-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom260-december-16-2019/,
93,"Saakow, Middle Juba, Somalia",9-Dec-19,Yes,al-Shabaab member and vehicle,No,https://airwars.org/civilian-casualties/ussom259-december-9-2019/,
94," Jilib, Middle Juba, Somalia",30-Nov-19,Yes,al-Shabaab communication center,No,https://airwars.org/civilian-casualties/ussom258-november-30-2019/,
95," Kunya Barrow, Middle Juba, Somalia",19-Nov-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom257-c-november-19-2019/,
96," Jilib, Middle Juba, Somalia",12-Nov-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom256-november-12-2019/,
97,"Jilib or between Jilib and Xaramka, Middle Juba, Somalia",3-Nov-19,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom255-november-3-2019/,
98,"Bu'aale, Middle Juba, Somalia",3-Nov-19,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom254-november-3-2019/,
99,"Bu'aale, Middle Juba, Somalia",25-Oct-19,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom253-october-25-2019/,
100,"Jamaame, Lower Juba, Somalia",25-Oct-19,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom252-october-25-2019/,
101," Kunya Barrow, Middle Juba, Somalia",30-Sep-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom250-september-30-2019/,
102," Kunya Barrow, Middle Juba, Somalia",30-Sep-19,Yes,"al-Shabaab members, in response to an IED that attacked a US base ",Maybe,https://airwars.org/civilian-casualties/ussom249-september-30-2019/,
103,"Near Ugungi, Lower Shabelle, Somalia",24-Sep-19,Yes,vehicle and equipment,No,https://airwars.org/civilian-casualties/ussom248-september-24-2019/,
